手机型号,价格,运行内存,电池容量,机身颜色,前置像素,后置像素
三星（SAMSUNG） Galaxy C9 Pro(C9000)全网通4G智能手机 墨玉黑（6G+64G）,2699.00元,6GB,4000mAh,金色,1600万像素,1600万像素
三星 Galaxy Note8（SM-N9500）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
三星（SAMSUNG） 三星 W2018（SM-W2018）手机 至尊雅金 全网通(6G+64G),13058.00元,6GB,2300mAhmAh,金色,500万像素,1200万像素
三星（SAMSUNG） C8 手机 墨玉黑 全网通版(C7100) 64GB,1658.00元,其他,3000mAh,其他,其他,500万像素；1300万像素
三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
,4819.00元,None,NonemAh,None,None,None
,3595.00元,None,NonemAh,None,None,None
,4099.00元,None,NonemAh,None,None,None
,3358.00元,None,NonemAh,None,None,None
,4699.00元,None,NonemAh,None,None,None
,7499.00元,None,NonemAh,None,None,None
,8988.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C8（SM-C7100）移动联通电信4G手机 墨玉黑 64G,2399.00元,4GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,2880.00元,None,NonemAh,None,None,None
,1899.00元,None,NonemAh,None,None,None
,6589.00元,None,NonemAh,None,None,None
,2999.00元,None,NonemAh,None,None,None
,1799.00元,None,NonemAh,None,None,None
,6140.00元,None,NonemAh,None,None,None
,3388.00元,None,NonemAh,None,None,None
,869.00元,None,NonemAh,None,None,None
,6318.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy J3pro(J3300)全网通4G移动联通电信版智能老人机手机 流沙金 3G+32G,1099.00元,3GB,2600mAh,金色,500万像素,1300万像素
,2699.00元,None,NonemAh,None,None,None
,3128.00元,None,NonemAh,None,None,None
,1688.00元,None,NonemAh,None,None,None
,9999.00元,None,NonemAh,None,None,None
,1599.00元,None,NonemAh,None,None,None
,68.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,5799.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
,258.00元,None,NonemAh,None,None,None
,1899.00元,None,NonemAh,None,None,None
,4299.00元,None,NonemAh,None,None,None
,5788.00元,None,NonemAh,None,None,None
三星 (SAMSUNG)W2018翻盖手机4G双卡双待心系天下商务尊贵礼品 雅金,13450.00元,6GB,2300mAh	mAh,金色,500万像素,1200万像素
三星（SAMSUNG） 三星 Galaxy C7（SM-C7000）全网通4G手机 金色 4G+32G,2399.00元,4GB,3300 mAhmAh,其他,800万像素,1600万像素
,419.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2018 移动联通电信全网4G 商务手机 雅金 6+64G,18888.00元,6GB,2300mAhmAh,金色,500万像素,1200万像素
三星（SAMSUNG） 三星G9298 手机 领世旗舰8 4G+64G,11388.00元,4GB,2300mAh,其他,500万像素,1200万像素
,1799.00元,None,NonemAh,None,None,None
,1399.00元,None,NonemAh,None,None,None
,1288.00元,None,NonemAh,None,None,None
,888.00元,None,NonemAh,None,None,None
,259.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8（SM-C7100）移动联通电信全网通4G手机 蔷薇粉 全网通(3G+32G),1899.00元,4GB,3000mAhmAh,金色,1600万像素,500万像素；1300万像素
三星（SAMSUNG） Galaxy J3 （J3308）手机 雪夜黑 移动版 3GB+32GB,942.00元,3GB,2600mAh,其他,500万像素,1300万像素
,4299.00元,None,NonemAh,None,None,None
,499.00元,None,NonemAh,None,None,None
,1669.00元,None,NonemAh,None,None,None
,268.00元,None,NonemAh,None,None,None
,1899.00元,None,NonemAh,None,None,None
,1648.00元,None,NonemAh,None,None,None
,458.00元,None,NonemAh,None,None,None
,4049.00元,None,NonemAh,None,None,None
,149.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C5（SM-C5000）移动联通电信4G手机 枫叶金 32G,1268.00元,4GB,2600mAh,金色,800万像素,1600万像素
三星（SAMSUNG） C9 Pro（SM-C9000）双卡双待4G手机 蔷薇粉 6G+64G 官方标配,2399.00元,6GB,4000mAh,金色,1600万像素,1600万像素
三星（SAMSUNG） Galaxy C8（C7100）移动联通电信4G手机 双卡双待 墨玉黑 全网通（4GB 64GB）,1625.00元,3GB,3000mAh,其他,1600万像素,500万像素；1600万像素
三星（SAMSUNG） 三星 C5（SM-C5000）全网通4G手机 双卡双待 蔷薇粉 (4G+32G),1163.00元,4GB,2600mAh,其他,800万像素,1600万像素
,169.00元,None,NonemAh,None,None,None
三星 Galaxy C8（SM-C7100）移动联通电信4G手机 双卡双待 墨玉黑 4G 32G,1649.00元,4GB,3000mAh,黑色,1600万像素,500万像素；1300万像素
三星（SAMSUNG） On5（G5500）全网通4G 移动联通电信版 老人机手机 双卡双待 流沙金,719.00元,其他,2600mAh,白色,500万像素,800万像素
,458.00元,None,NonemAh,None,None,None
,1999.00元,None,NonemAh,None,None,None
,4838.00元,None,NonemAh,None,None,None
SAMSUNG 三星 Galaxy C9 Pro C9000 4G手机 蔷薇粉 全网通(6G+64G),2388.00元,6GB,4000 mAhmAh,黑色,1600万像素,1600万像素
,4088.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C7（SM-C7000） 全网通4G手机 双卡 枫叶金 4+64G,2188.00元,其他,3300mAh,其他,800万像素,1600万像素
三星（SAMSUNG） Galaxy C8 手机 墨玉黑 SM-C7100/全网通 4GB+64GB,1675.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,39900.00元,None,NonemAh,None,None,None
,499.00元,None,NonemAh,None,None,None
三星（SAMSUNG） W2018 翻盖智能商务手机 至尊版（64GB）,12999.00元,6GB,2300mAh,其他,500万像素,1200万像素
三星（SAMSUNG） 三星 Galaxy C9 Pro (C9000) 4G手机 墨玉黑 全网通(6GB+64GB),2648.00元,6GB,"4,000mAhmAh",其他,1600万像素,1600万像素
,299.00元,None,NonemAh,None,None,None
,4699.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy C9 Pro（C9000） 移动联通电信4G 金色,2999.00元,6GB,4000mAh,其他,1600万像素,1600万像素
,16666.00元,None,NonemAh,None,None,None
,2488.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy J3 （J3300 移动联通电信4G手机 蓝色 3GB+32GB,999.00元,3GB,2600mAh,其他,500万像素,1300万像素
,1280.00元,None,NonemAh,None,None,None
三星 Galaxy Note8（SM-N9500）6GB+256GB 旷野灰 移动联通电信4G手机 双卡双待,7988.00元,6GB,3300mAhmAh,旷野灰,800万像素,双1200万像素
,4999.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,6699.00元,6GB,3500mAh,谜夜黑,800万像素,双1200万像素
SAMSUNG 三星S8+ G9550 全视曲面屏 移动电信联通 双卡双待4G手机 勃垦第红 全网通(6G+128G),6299.00元,其他,3500mAh,其他,800万像素,1200万像素
,268.00元,None,NonemAh,None,None,None
,3688.00元,None,NonemAh,None,None,None
,499.00元,None,NonemAh,None,None,None
【电信赠费版】三星 Galaxy S9（SM-G9600/DS）4GB+128GB 谜夜黑 移动联通电信4G手机 双卡双待,6099.00元,4GB,3000mAh,谜夜黑,800万像素,1200万像素
,1999.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星G9298 领世旗舰8 大器5 双屏翻盖智能手机 黑色 移动联通4G(4GB+64GB),9858.00元,4GB,2300mAh,其他,500万像素,1200万像素
【电信赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
,3318.00元,None,NonemAh,None,None,None
,258.00元,None,NonemAh,None,None,None
,4388.00元,None,NonemAh,None,None,None
,1369.00元,None,NonemAh,None,None,None
,5199.00元,None,NonemAh,None,None,None
三星 Galaxy S8+（SM-G9550）4GB+64GB 芭比粉 移动联通电信4G手机 双卡双待,5499.00元,4GB,3500mAh,粉色,800万像素,1200万像素
,3688.00元,None,NonemAh,None,None,None
,2599.00元,None,NonemAh,None,None,None
,4188.00元,None,NonemAh,None,None,None
,3888.00元,None,NonemAh,None,None,None
,1688.00元,None,NonemAh,None,None,None
【移动赠费版】三星 Galaxy Note8（SM-N9500）6GB 128GB 星河蓝 移动联通电信4G手机 双卡双待,7388.00元,6GB,3300mAhmAh,星河蓝,800万像素,双1200万像素
三星 Galaxy Note8（SM-N9508）6G+64G 谜夜黑 移动4G+手机 双卡双待,6988.00元,6GB,3300mAhmAh,谜夜黑,800万像素,双1200万像素
,1799.00元,None,NonemAh,None,None,None
,2299.00元,None,NonemAh,None,None,None
,16888.00元,None,NonemAh,None,None,None
,3388.00元,None,NonemAh,None,None,None
,-1.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 三星 Galaxy S9（SM-G9600/DS） 移动联通电信4G手机 迷夜黑 4GB +64GB,5799.00元,4GB,3000mAh,黑色,800万像素,1200万像素
,2999.00元,None,NonemAh,None,None,None
,1799.00元,None,NonemAh,None,None,None
,399.00元,None,NonemAh,None,None,None
,1588.00元,None,NonemAh,None,None,None
,1088.00元,None,NonemAh,None,None,None
,2218.00元,None,NonemAh,None,None,None
,17999.00元,None,NonemAh,None,None,None
,5988.00元,None,NonemAh,None,None,None
【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待,6999.00元,6GB,3500mAh,夕雾紫,800万像素,双1200万像素
三星（SAMSUNG） Galaxy C7（SM-C7000）移动联通电信4G手机 枫叶金 官方标配 32GB,1599.00元,其他,3300 以官网信息为准mAh,其他,800万像素,1600万像素
三星（SAMSUNG） 三星 Galaxy J3（SM-J3300）智能手机 老人机 雪夜黑 全网通(3G+32G),919.00元,3GB,2600mAh,黑色,500万像素,1300万像素
,6228.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C9 Pro（C9000）手机 蔷薇粉 全网通 6GB+64GB,2428.00元,6GB,4000 mAhmAh,其他,1600万像素,1600万像素
,4988.00元,None,NonemAh,None,None,None
,6499.00元,None,NonemAh,None,None,None
,2788.00元,None,NonemAh,None,None,None
,258.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy Folder2 (G1650) 翻盖手机 帕托金 2GB+16GB,1799.00元,2GB,1950mAh,其他,500万像素,800万像素
,2099.00元,None,NonemAh,None,None,None
三星（SAMSUNG） 大器四 G9198 移动联通双4G手机 双卡双待 寰宇蓝,7300.00元,2GB,/mAh,其他,其他,其他
,5288.00元,None,NonemAh,None,None,None
,36888.00元,None,NonemAh,None,None,None
,6588.00元,None,NonemAh,None,None,None
,6288.00元,None,NonemAh,None,None,None
,18299.00元,None,NonemAh,None,None,None
,2880.00元,None,NonemAh,None,None,None
三星（SAMSUNG） Galaxy C8（SM-C7100）手机 墨玉黑 全网通 4GB+64GB,1649.00元,3GB,3000mAhmAh,其他,1600万像素,500万像素；1300万像素
,1199.00元,None,NonemAh,None,None,None
三星 Galaxy S8（SM-G9500）4GB+64GB 芭比粉 移动联通电信4G手机 双卡双待,4999.00元,4GB,3000mAh,粉色,800万像素,1200万像素
,2698.00元,None,NonemAh,None,None,None
